Advanced
max_subdivisions: 100000
,Error Goal 0.001
,Type,Integral,Result,Error,Time, AbsError
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058554,0.058554,0.000014,0.000048,0.000885
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610864,-1.610864,0.000000,0.000104,0.000000
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998216,2.998216,0.000001,0.000090,0.000138
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000090,0.000001
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000096,0.000957
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000065,0.030928
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000058,0.175862
,simple,x^10000 from 0 to 10.000007,0.000007,0.000093,0.000048,0.419359
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000052,0.647580
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000062,0.804723
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000057,0.897064
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000048,0.947135
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000046,0.973209
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000366,8.000366,0.000366,0.000045,0.986521
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000049,0.993238
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000066,0.996613
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499946,0.499946,0.000040,0.000061,0.998305
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000051,0.999152
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000041,0.999576
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000045,0.999788
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844909,-20.844909,0.000009,0.000047,0.999980
,badly behaved,ln(x) from 0 to 1-0.999998,-0.999998,0.000002,0.000054,0.999990
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000049,0.999995
,badly behaved,ln(1/x) from 0 to 10.999998,0.999998,0.000002,0.000058,0.999998
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058571,0.058571,0.000004,0.000076,0.999999
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610920,-1.610920,0.000056,0.000047,1.000000
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.997952,2.997952,0.000262,0.000056,1.000002
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303890,2.303890,0.000014,0.000052,1.000001
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000058,1.000001
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000053,1.000000
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000048,1.000000
,simple,x^10000 from 0 to 10.000048,0.000048,0.000052,0.000052,1.000000
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000048,1.000000
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000048,1.000000
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000048,1.000000
,simple,x^1/2 from 0 to 10.666667,0.666667,0.000001,0.000038,1.000000
,discontinuous,(e^x-1)/x (edge discontinuity) from 0 to 11.317902,1.317902,0.000000,0.000053,1.000000
,discontinuous,1/sqrt(abs(x)) (edge discontinuity) from -9 to 18.000000,8.000000,0.000000,0.000051,1.000000
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311737,0.311737,0.000001,0.000053,1.000000
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000062,1.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499996,0.499996,0.000010,0.000047,1.000000
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000054,1.000000
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000059,1.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000059,1.000000
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000109,1.000000
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000060,1.000000
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000063,1.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000058,1.000000
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058561,0.058561,0.000006,0.000049,1.000000
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610836,-1.610836,0.000028,0.000041,1.000000
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998215,2.998215,0.000000,0.000070,1.000000
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000054,1.000000
