Advanced
max_subdivisions: 100000
,Error Goal 0.000001
,Type,Integral,Result,Error,Time, AbsError
,discontinuous,sin(x)*sqrt(1-x^2) (edge discontinuity) *note: answer only accurate to e-6 from 0 to 10.311736,0.311736,0.000000,0.000065,0.000000
,discontinuous,sin(x)/x (edge discontinuity) from 0 to 31.848653,1.848653,0.000000,0.000041,0.000000
,discontinuous,sqrt(abs(x-0.7)) (middle discontinuity) *note: answer only accurate to e-6 from 0 to 10.499986,0.499986,0.000000,0.000053,0.000000
,discontinuous,(x+2)(x-2)/(x-2) (middle discontinuity) from 1 to 38.000000,8.000000,0.000000,0.000036,0.000000
,discontinuous,floor(x) (middle discontinuity) from 0 to 21.000000,1.000000,0.000000,0.000038,0.000000
,discontinuous,piecewise (middle discontinuity) from 0 to 22.500000,2.500000,0.000000,0.000037,0.000000
,badly behaved,e^x*ln(sin(x)) *note: answer only accurate to e-4 from 0 to 3.14159-20.844942,-20.844942,0.000042,0.000155,0.000005
,badly behaved,ln(x) from 0 to 1-1.000000,-1.000000,0.000000,0.000063,0.000000
,badly behaved,ln(x^2) from 8 to 94.278978,4.278978,0.000000,0.000040,0.000000
,badly behaved,ln(1/x) from 0 to 11.000000,1.000000,0.000000,0.000057,0.000000
,badly behaved,x^2*sin(1/x) (oscillatory) from 0 to 0.636620.058568,0.058568,0.000000,0.000071,0.000001
,badly behaved,ln(abs(x-0.7)) from 0 to 1-1.610864,-1.610864,0.000000,0.000052,0.000000
,badly behaved,sqrt(1-x^4)/x^(1-1/pi) from 0 to 12.998214,2.998214,0.000000,0.000162,0.000000
,badly behaved,e^x/(x^(1/pi) from 0 to 12.303904,2.303904,0.000000,0.000061,0.000001
,simple,sin(x) from 0 to 10.459698,0.459698,0.000000,0.000069,0.000957
,simple,x^2 from 0 to 10.333333,0.333333,0.000000,0.000066,0.030928
,simple,x^3 from 0 to 10.250000,0.250000,0.000000,0.000080,0.175862
,simple,x^10000 from 0 to 10.000100,0.000100,0.000000,0.000072,0.419359
,simple,3*x^4+4*x^3+76*x^2+58*x+4 from -20 to 01951146.666667,1951146.666667,0.000000,0.000116,0.647580
,simple,x^-1 from 1 to 20.693147,0.693147,0.000000,0.000062,0.804723
,simple,e^x from 0 to 11.718282,1.718282,0.000000,0.000050,0.897064
